Model,Fold,Task,Train/Test,Type,AUC
SVM,0,0,train,total,0.8458333333333333
SVM,0,0,train,image,0.9409375
SVM,0,0,train,text,0.8212499999999999
SVM,0,0,test,total,0.7788888888888889
SVM,0,0,test,image,0.835
SVM,0,0,test,text,0.74
SVM,0,1,train,total,0.8410416666666667
SVM,0,1,train,image,0.8826562500000001
SVM,0,1,train,text,0.9662499999999999
SVM,0,1,test,total,0.8933333333333333
SVM,0,1,test,image,0.9299999999999998
SVM,0,1,test,text,0.96
SVM,0,2,train,total,0.9574305555555556
SVM,0,2,train,image,0.9909375
SVM,0,2,train,text,0.8281250000000001
SVM,0,2,test,total,0.9400000000000001
SVM,0,2,test,image,1.0
SVM,0,2,test,text,0.76
SVM,0,3,train,total,0.7804166666666666
SVM,0,3,train,image,0.9337500000000001
SVM,0,3,train,text,0.794375
SVM,0,3,test,total,0.7522222222222222
SVM,0,3,test,image,0.9049999999999999
SVM,0,3,test,text,0.8500000000000001
SVM,0,4,train,total,0.8356250000000001
SVM,0,4,train,image,0.9710937500000001
SVM,0,4,train,text,0.785625
SVM,0,4,test,total,0.84
SVM,0,4,test,image,0.9725
SVM,0,4,test,text,0.77
SVM,0,5,train,total,0.9868055555555556
SVM,0,5,train,image,1.0
SVM,0,5,train,text,0.974375
SVM,0,5,test,total,0.9366666666666668
SVM,0,5,test,image,1.0
SVM,0,5,test,text,0.9299999999999999
SVM,0,AVG,train,total,0.874525462962963
SVM,0,AVG,train,image,0.9532291666666666
SVM,0,AVG,train,text,0.8616666666666667
SVM,0,AVG,test,total,0.8568518518518519
SVM,0,AVG,test,image,0.9404166666666666
SVM,0,AVG,test,text,0.835
SVM,1,0,train,total,0.7655555555555555
SVM,1,0,train,image,0.8534375000000001
SVM,1,0,train,text,0.8674999999999999
SVM,1,0,test,total,0.758888888888889
SVM,1,0,test,image,0.8474999999999999
SVM,1,0,test,text,0.75
SVM,1,1,train,total,0.8071527777777777
SVM,1,1,train,image,0.88203125
SVM,1,1,train,text,0.9787500000000001
SVM,1,1,test,total,0.7655555555555555
SVM,1,1,test,image,0.8525
SVM,1,1,test,text,0.97
SVM,1,2,train,total,0.9631944444444444
SVM,1,2,train,image,0.9925
SVM,1,2,train,text,0.82125
SVM,1,2,test,total,0.9766666666666666
SVM,1,2,test,image,1.0
SVM,1,2,test,text,0.79
SVM,1,3,train,total,0.7704861111111112
SVM,1,3,train,image,0.951875
SVM,1,3,train,text,0.801875
SVM,1,3,test,total,0.72
SVM,1,3,test,image,0.88
SVM,1,3,test,text,0.86
SVM,1,4,train,total,0.8175
SVM,1,4,train,image,0.96828125
SVM,1,4,train,text,0.75875
SVM,1,4,test,total,0.7911111111111111
SVM,1,4,test,image,0.9675
SVM,1,4,test,text,0.85
SVM,1,5,train,total,0.9684027777777777
SVM,1,5,train,image,1.0
SVM,1,5,train,text,0.9656250000000001
SVM,1,5,test,total,0.9111111111111112
SVM,1,5,test,image,1.0
SVM,1,5,test,text,1.0
SVM,1,AVG,train,total,0.8487152777777777
SVM,1,AVG,train,image,0.9413541666666667
SVM,1,AVG,train,text,0.8656250000000001
SVM,1,AVG,test,total,0.8205555555555556
SVM,1,AVG,test,image,0.9245833333333334
SVM,1,AVG,test,text,0.87
SVM,2,0,train,total,0.8755902777777778
SVM,2,0,train,image,0.911328125
SVM,2,0,train,text,0.8525
SVM,2,0,test,total,0.7566666666666666
SVM,2,0,test,image,0.7875
SVM,2,0,test,text,0.69
SVM,2,1,train,total,0.8297916666666666
SVM,2,1,train,image,0.91515625
SVM,2,1,train,text,0.9837500000000001
SVM,2,1,test,total,0.6422222222222222
SVM,2,1,test,image,0.67
SVM,2,1,test,text,0.99
SVM,2,2,train,total,0.9678472222222222
SVM,2,2,train,image,0.99125
SVM,2,2,train,text,0.845625
SVM,2,2,test,total,0.9611111111111111
SVM,2,2,test,image,1.0
SVM,2,2,test,text,0.65
SVM,2,3,train,total,0.7699305555555556
SVM,2,3,train,image,0.93359375
SVM,2,3,train,text,0.841875
SVM,2,3,test,total,0.7022222222222222
SVM,2,3,test,image,0.855
SVM,2,3,test,text,0.6
SVM,2,4,train,total,0.8052083333333333
SVM,2,4,train,image,0.96953125
SVM,2,4,train,text,0.76625
SVM,2,4,test,total,0.7855555555555557
SVM,2,4,test,image,0.955
SVM,2,4,test,text,0.75
SVM,2,5,train,total,0.9780555555555557
SVM,2,5,train,image,1.0
SVM,2,5,train,text,0.9775
SVM,2,5,test,total,0.98
SVM,2,5,test,image,1.0
SVM,2,5,test,text,0.93
SVM,2,AVG,train,total,0.8710706018518519
SVM,2,AVG,train,image,0.9534765625
SVM,2,AVG,train,text,0.8779166666666667
SVM,2,AVG,test,total,0.8046296296296296
SVM,2,AVG,test,image,0.8779166666666667
SVM,2,AVG,test,text,0.7683333333333334
SVM,3,0,train,total,0.8677777777777778
SVM,3,0,train,image,0.90234375
SVM,3,0,train,text,0.8062499999999999
SVM,3,0,test,total,0.7666666666666667
SVM,3,0,test,image,0.81
SVM,3,0,test,text,0.93
SVM,3,1,train,total,0.8088541666666667
SVM,3,1,train,image,0.874609375
SVM,3,1,train,text,0.985625
SVM,3,1,test,total,0.8133333333333334
SVM,3,1,test,image,0.945
SVM,3,1,test,text,0.9299999999999999
SVM,3,2,train,total,0.9715972222222222
SVM,3,2,train,image,0.9951562500000001
SVM,3,2,train,text,0.78875
SVM,3,2,test,total,0.9388888888888889
SVM,3,2,test,image,0.9800000000000001
SVM,3,2,test,text,0.8300000000000001
SVM,3,3,train,total,0.7744444444444444
SVM,3,3,train,image,0.93640625
SVM,3,3,train,text,0.7843749999999999
SVM,3,3,test,total,0.7711111111111111
SVM,3,3,test,image,0.9525
SVM,3,3,test,text,0.8300000000000001
SVM,3,4,train,total,0.7740277777777778
SVM,3,4,train,image,0.97375
SVM,3,4,train,text,0.805
SVM,3,4,test,total,0.7422222222222222
SVM,3,4,test,image,0.96
SVM,3,4,test,text,0.54
SVM,3,5,train,total,0.9765277777777779
SVM,3,5,train,image,1.0
SVM,3,5,train,text,0.971875
SVM,3,5,test,total,0.9777777777777779
SVM,3,5,test,image,1.0
SVM,3,5,test,text,1.0
SVM,3,AVG,train,total,0.8622048611111112
SVM,3,AVG,train,image,0.9470442708333334
SVM,3,AVG,train,text,0.8569791666666666
SVM,3,AVG,test,total,0.835
SVM,3,AVG,test,image,0.94125
SVM,3,AVG,test,text,0.8433333333333334
SVM,4,0,train,total,0.7489236111111112
SVM,4,0,train,image,0.862265625
SVM,4,0,train,text,0.8425
SVM,4,0,test,total,0.6877777777777778
SVM,4,0,test,image,0.7575
SVM,4,0,test,text,0.9500000000000001
SVM,4,1,train,total,0.8014930555555555
SVM,4,1,train,image,0.873046875
SVM,4,1,train,text,0.9662499999999999
SVM,4,1,test,total,0.8011111111111112
SVM,4,1,test,image,0.905
SVM,4,1,test,text,0.9800000000000001
SVM,4,2,train,total,0.9640972222222222
SVM,4,2,train,image,0.9934375
SVM,4,2,train,text,0.8031250000000001
SVM,4,2,test,total,0.9566666666666667
SVM,4,2,test,image,0.9624999999999999
SVM,4,2,test,text,0.86
SVM,4,3,train,total,0.7598611111111111
SVM,4,3,train,image,0.93734375
SVM,4,3,train,text,0.8131250000000001
SVM,4,3,test,total,0.7711111111111111
SVM,4,3,test,image,0.945
SVM,4,3,test,text,0.76
SVM,4,4,train,total,0.806875
SVM,4,4,train,image,0.9784375
SVM,4,4,train,text,0.828125
SVM,4,4,test,total,0.7322222222222223
SVM,4,4,test,image,0.89
SVM,4,4,test,text,0.7300000000000001
SVM,4,5,train,total,0.9474305555555556
SVM,4,5,train,image,1.0
SVM,4,5,train,text,0.975625
SVM,4,5,test,total,0.9500000000000001
SVM,4,5,test,image,1.0
SVM,4,5,test,text,0.96
SVM,4,AVG,train,total,0.8381134259259259
SVM,4,AVG,train,image,0.9407552083333334
SVM,4,AVG,train,text,0.8714583333333333
SVM,4,AVG,test,total,0.8164814814814815
SVM,4,AVG,test,image,0.91
SVM,4,AVG,test,text,0.8733333333333334
SVM,AVG,0,train,total,0.8207361111111112
SVM,AVG,0,train,image,0.8940625000000001
SVM,AVG,0,train,text,0.8379999999999999
SVM,AVG,0,test,total,0.7497777777777778
SVM,AVG,0,test,image,0.8074999999999999
SVM,AVG,0,test,text,0.8119999999999999
SVM,AVG,1,train,total,0.8176666666666665
SVM,AVG,1,train,image,0.8855000000000001
SVM,AVG,1,train,text,0.9761249999999999
SVM,AVG,1,test,total,0.7831111111111111
SVM,AVG,1,test,image,0.8604999999999998
SVM,AVG,1,test,text,0.966
SVM,AVG,2,train,total,0.9648333333333333
SVM,AVG,2,train,image,0.9926562499999999
SVM,AVG,2,train,text,0.817375
SVM,AVG,2,test,total,0.9546666666666667
SVM,AVG,2,test,image,0.9884999999999999
SVM,AVG,2,test,text,0.778
SVM,AVG,3,train,total,0.7710277777777778
SVM,AVG,3,train,image,0.9385937500000001
SVM,AVG,3,train,text,0.8071249999999999
SVM,AVG,3,test,total,0.7433333333333334
SVM,AVG,3,test,image,0.9075
SVM,AVG,3,test,text,0.78
SVM,AVG,4,train,total,0.8078472222222223
SVM,AVG,4,train,image,0.97221875
SVM,AVG,4,train,text,0.7887500000000001
SVM,AVG,4,test,total,0.7782222222222224
SVM,AVG,4,test,image,0.9490000000000001
SVM,AVG,4,test,text,0.728
SVM,AVG,5,train,total,0.9714444444444446
SVM,AVG,5,train,image,1.0
SVM,AVG,5,train,text,0.9730000000000001
SVM,AVG,5,test,total,0.9511111111111111
SVM,AVG,5,test,image,1.0
SVM,AVG,5,test,text,0.9640000000000001
SVM,AVG,AVG,train,total,0.858925925925926
SVM,AVG,AVG,train,image,0.947171875
SVM,AVG,AVG,train,text,0.8667291666666668
SVM,AVG,AVG,test,total,0.8267037037037037
SVM,AVG,AVG,test,image,0.9188333333333334
SVM,AVG,AVG,test,text,0.8380000000000002
